idnfsexterno,dta_emplacamento
A25720621V210,27/02/2025
A25720631V210,27/02/2025
A25316311V210,27/02/2025
A2554771V210,27/02/2025
A2554791V210,27/02/2025
A25316341V210,28/02/2025
A25720651V210,27/02/2025
A25224741V210,07/03/2025
A25611341V210,28/02/2025
A251159871V210,27/02/2025
A251159961V210,07/03/2025
A25720731V210,05/03/2025
A251160021V210,28/02/2025
A2554811V210,27/02/2025
A25720751V210,27/02/2025
A25720761V210,27/02/2025
A251160031V210,27/02/2025
A25611401V210,05/03/2025
A25720781V210,28/02/2025
A25316421V210,27/02/2025
A25316431V210,27/02/2025
A25316441V210,27/02/2025
A251160251V210,28/02/2025
A251160261V210,27/02/2025
A25720831V210,05/03/2025
A25611421V210,10/03/2025
A2554941V210,28/02/2025
A2548971V210,27/02/2025
A2548981V210,28/02/2025
A251160371V210,28/02/2025
A2554951V210,27/02/2025
A25224881V210,07/03/2025
A25611461V210,28/02/2025
A25720841V210,28/02/2025
A25224911V210,05/03/2025
A25316451V210,28/02/2025
A25611471V210,28/02/2025
A25611481V210,28/02/2025
A2554961V210,28/02/2025
A25224921V210,05/03/2025
A251160491V210,11/03/2025
A2548991V210,05/03/2025
A2549001V210,28/02/2025
A251160501V210,05/03/2025
A251160511V210,05/03/2025
A251160531V210,05/03/2025
A2549011V210,28/02/2025
A251160561V210,28/02/2025
A25224941V210,28/02/2025
A25224961V210,07/03/2025
A2518148511698VD,
A2517823511697VD,
A2518151511700VD,
A2518149511699VD,
A2518150511701VD,
A25224971V210,05/03/2025
A25224981V210,28/02/2025
A25611511V210,28/02/2025
A251160661V210,28/02/2025
A251160701V210,28/02/2025
A251160711V210,28/02/2025
A25611531V210,28/02/2025
A251160781V210,28/02/2025
A25720931V210,05/03/2025
A2549021V210,05/03/2025
A251160871V210,11/03/2025
A2549031V210,28/02/2025
A25720961V210,06/03/2025
A25316541V210,05/03/2025
A25316551V210,05/03/2025
A25225091V210,12/03/2025
A25720991V210,05/03/2025
A2554991V210,05/03/2025
A25225111V210,05/03/2025
A25225121V210,07/03/2025
A25316611V210,07/03/2025
A251161131V210,05/03/2025
A2555001V210,05/03/2025
A25721021V210,05/03/2025
A25225161V210,07/03/2025
A251161201V210,20/03/2025
A25225171V210,12/03/2025
A25611581V210,21/03/2025
A25225191V210,07/03/2025
A251161241V210,07/03/2025
A251161251V210,05/03/2025
A251161261V210,05/03/2025
A251161271V210,05/03/2025
A25721051V210,06/03/2025
A25316641V210,06/03/2025
A251161281V210,05/03/2025
A251161311V210,05/03/2025
A25316661V210,10/03/2025
A25225241V210,06/03/2025
A251161361V210,05/03/2025
A25611621V210,05/03/2025
A251161371V210,05/03/2025
A25721081V210,06/03/2025
A25225251V210,05/03/2025
A25316701V210,07/03/2025
A2549051V210,07/03/2025
A25316711V210,07/03/2025
A25225261V210,07/03/2025
A25316721V210,05/03/2025
A251161421V210,06/03/2025
A251161431V210,31/03/2025
A25316731V210,11/03/2025
A251161441V210,05/03/2025
A25225301V210,05/03/2025
A25225321V210,11/03/2025
A25225471V210,11/03/2025
A25316791V210,10/03/2025
A25316801V210,10/03/2025
A25316841V210,07/03/2025
A25316901V210,11/03/2025
A2549081V210,07/03/2025
A25225401V210,13/03/2025
A25611721V070,21/03/2025
A251162221V210,06/03/2025
A2549111V210,07/03/2025
A25721431V210,07/03/2025
A25721451V210,07/03/2025
A251162691V210,17/03/2025
A25316821V210,07/03/2025
A251162911V070,31/03/2025
A251162961V210,11/03/2025
A25721581V210,10/03/2025
A251163031V210,11/03/2025
A2555171V210,10/03/2025
A251163151V210,11/03/2025
A25225701V210,24/03/2025
A2555241V210,13/03/2025
A25611901V210,11/03/2025
A2555261V210,11/03/2025
A251163341V210,12/03/2025
A25225771V210,19/03/2025
A25225911V210,17/03/2025
A25721791V210,14/03/2025
A2517854512043VD,
A25226181V210,12/03/2025
A25226191V210,24/03/2025
A251163911V210,14/03/2025
A25611971V210,13/03/2025
A251163991V210,13/03/2025
A251164201V210,14/03/2025
A25226311V210,19/03/2025
A25226321V210,24/03/2025
A251164401V210,20/03/2025
A25721961V210,13/03/2025
A25317351V210,20/03/2025
A25226351V210,17/03/2025
A251164641V210,18/03/2025
A25226361V210,13/03/2025
A251164751V210,17/03/2025
A25722121V210,17/03/2025
A251164831V210,19/03/2025
A251164951V210,21/03/2025
A2555391V210,18/03/2025
A25612141V210,17/03/2025
A25226401V210,20/03/2025
A25226411V210,19/03/2025
A25711958751698VD,
A25722271V210,17/03/2025
A25226431V210,19/03/2025
A251165341V210,24/03/2025
A25226471V210,19/03/2025
A251165541V210,25/04/2025
A25612211V210,14/03/2025
A25226501V210,24/03/2025
A25722331V210,19/03/2025
A2555441V210,24/03/2025
A251165721V210,20/03/2025
A25722371V210,19/03/2025
A251165891V210,21/03/2025
A25612281V210,18/03/2025
A25612311V210,21/03/2025
A25722431V210,19/03/2025
A2555501V210,18/03/2025
A251166051V210,19/03/2025
A25722471V210,21/03/2025
A25226581V210,19/03/2025
A25722481V210,18/03/2025
A251166161V210,25/03/2025
A2555511V210,18/03/2025
A2555521V210,18/03/2025
A25317651V210,20/03/2025
A25317671V210,20/03/2025
A251166361V210,20/03/2025
A25226651V210,21/03/2025
A2555541V210,19/03/2025
A251166401V210,19/03/2025
A25612351V210,19/03/2025
A25612361V210,20/03/2025
A25317701V210,19/03/2025
A25226791V210,27/03/2025
A25317731V210,21/03/2025
A25226841V210,25/03/2025
A25317741V210,21/03/2025
A25226881V210,26/03/2025
A25226891V210,25/03/2025
A25317801V210,20/03/2025
A25226931V210,25/03/2025
A25722631V210,24/03/2025
A251166751V210,20/03/2025
A251166791V210,21/03/2025
A251166851V210,21/03/2025
A25722701V210,20/03/2025
A25317821V210,24/03/2025
A251167061V210,21/03/2025
A25317861V210,20/03/2025
A2555611V210,28/03/2025
A2549611V210,24/03/2025
A25227031V210,27/03/2025
A2549621V210,21/03/2025
A251167421V210,21/03/2025
A25412276051285VD,
A25317891V210,25/03/2025
A25227091V070,24/03/2025
A25612521V210,25/03/2025
A2555671V210,27/03/2025
A25317931V210,24/03/2025
A25722871V210,25/03/2025
A25227131V210,27/03/2025
A25722881V210,26/03/2025
A25227181V210,26/03/2025
A251167731V210,26/03/2025
A25227191V210,24/03/2025
A25612591V210,25/03/2025
A251167801V210,27/03/2025
A2549661V210,28/03/2025
A25612631V210,26/03/2025
A25722931V210,26/03/2025
A251167891V210,25/03/2025
A251167901V210,31/03/2025
A251167911V210,07/04/2025
A2549681V210,26/03/2025
A251167931V210,27/03/2025
A2555801V210,25/03/2025
A251167951V210,31/03/2025
A2555811V210,25/03/2025
A25318011V210,25/03/2025
