chassi,pps,val_pdi,percentil_atacado
LGXCD4C41T0050971,"299.800,00",700,"0,02"
LGXCD4C49T0042004,"299.800,00",700,"0,02"
LGXCD4C47T0039036,"299.800,00",700,"0,02"
LGXCD4C45T0055588,"299.800,00",700,"0,02"
LGXCD4C45T0041240,"299.800,00",700,"0,02"
LGXCD4C47T0038596,"299.800,00",700,"0,02"
LGXCD4C45T0039052,"299.800,00",700,"0,02"
LGXCD4C45T0036409,"299.800,00",700,"0,02"
LGXCD4C45T0038578,"299.800,00",700,"0,02"
LGXCD4C44T0055324,"299.800,00",700,"0,02"
LGXCD4C43T0044296,"299.800,00",700,"0,02"
LGXCD4C48T0055195,"299.800,00",700,"0,02"
LGXCD4C47T0056967,"299.800,00",700,"0,02"
LGXCD4C47T0039070,"299.800,00",700,"0,02"
LGXCD4C47T0056936,"299.800,00",700,"0,02"
LGXCD4C47T0055673,"299.800,00",700,"0,02"
LGXCD4C47T0055964,"299.800,00",700,"0,02"
LGXCD4C45T0038595,"299.800,00",700,"0,02"
LGXCD4C47T0055981,"299.800,00",700,"0,02"
LGXCD4C47T0056189,"299.800,00",700,"0,02"
LGXCD4C4XT0055330,"299.800,00",700,"0,02"
LGXCD4C4XT0055652,"299.800,00",700,"0,02"
LGXCD4C4XT0055327,"299.800,00",700,"0,02"
LGXCD4C49T0055612,"299.800,00",700,"0,02"
LGXCD4C49T0055545,"299.800,00",700,"0,02"
LGXCD4C48T0055276,"299.800,00",700,"0,02"
LGXCD4C47T0056970,"299.800,00",700,"0,02"
LGXCD4C47T0055656,"299.800,00",700,"0,02"
LGXCD4C4XT0037488,"299.800,00",700,"0,02"
LGXCD4C4XT0036311,"299.800,00",700,"0,02"
LGXCD4C46T0036340,"299.800,00",700,"0,02"
LGXCD4C4XT0055943,"299.800,00",700,"0,02"
LGXCD4C4XT0036258,"299.800,00",700,"0,02"
LGXCD4C4XT0036230,"299.800,00",700,"0,02"
LGXCD4C49T0043315,"299.800,00",700,"0,02"
LGXCD4C45T0041271,"299.800,00",700,"0,02"
LGXCD4C49T0055562,"299.800,00",700,"0,02"
LGXCD4C46T0036208,"299.800,00",700,"0,02"
LGXCD4C47T0041286,"299.800,00",700,"0,02"
LGXCD4C48T0036355,"299.800,00",700,"0,02"
LGXCD4C47T0041143,"299.800,00",700,"0,02"
LGXCD4C47T0041322,"299.800,00",700,"0,02"
LGXCD4C47T0041949,"299.800,00",700,"0,02"
LGXCD4C46T0036189,"299.800,00",700,"0,02"
LGXCD4C47T0040297,"299.800,00",700,"0,02"
LGXCD4C45T0041299,"299.800,00",700,"0,02"
LGXCD4C45T0040203,"299.800,00",700,"0,02"
LGXCD4C45T0041321,"299.800,00",700,"0,02"
LGXCD4C45T0042002,"299.800,00",700,"0,02"
LGXCD4C4XT0038950,"299.800,00",700,"0,02"
LGXCD4C4XT0043310,"299.800,00",700,"0,02"
LGXCD4C45T0041285,"299.800,00",700,"0,02"
LGXCD4C45T0040329,"299.800,00",700,"0,02"
LGXCD4C4XT0043095,"299.800,00",700,"0,02"
LGXCD4C4XT0036213,"299.800,00",700,"0,02"
LGXCD4C4XT0040245,"299.800,00",700,"0,02"
LGXCD4C4XT0038981,"299.800,00",700,"0,02"
LGXCD4C49T0042049,"299.800,00",700,"0,02"
LGXCD4C4XT0038754,"299.800,00",700,"0,02"
LGXCD4C47T0040168,"299.800,00",700,"0,02"
LGXCD4C49T0040303,"299.800,00",700,"0,02"
LGXCD4C45T0043022,"299.800,00",700,"0,02"
LGXC74C47T0017013,"249.990,00",700,"0,02"
LGXC74C4XT0016986,"249.990,00",700,"0,02"
LC0C74C45T5022569,"199.990,00",700,"0,02"
LC0C74C47T5021455,"199.990,00",700,"0,02"
